year,value,return,start_value,sharpe,max_drawdown,cagr
2020,224035.12679106902,0.0,100000.0,0.0,0.0,0.0
2021,217907.11653040702,0.0,224035.12679106902,0.0,0.0,0.0
2022,165730.5136919816,0.0,217907.11653040702,0.0,0.0,0.0
2023,167788.33996568748,0.0,165730.5136919816,0.0,0.0,0.0
2024,170507.17998130815,0.0,167788.33996568748,0.0,0.0,0.0
