date,ticker,action,shares,price,execution_price,cost,pnl,holding_days
2015-01-05,META,BUY,158,77.50221682340297,77.57971904022638,12.245350258097671,0.0,0
2015-01-05,UNH,BUY,178,84.07811323936089,84.16219135260025,14.965904156606237,0.0,0
2015-01-05,DIS,BUY,175,85.51264299478493,85.59815563777971,14.96471252408736,0.0,0
2015-01-05,HD,BUY,188,79.39977816318392,79.4791779413471,14.927158294678579,0.0,0
2015-01-05,BRK-B,BUY,100,148.80999755859375,148.95880755615235,14.880999755859376,0.0,0
2015-01-05,V,BUY,245,60.986831093353935,61.04781792444729,14.941773617871714,0.0,0
2015-01-05,MRK,BUY,321,39.798120251198746,39.837918371449945,12.775196600634798,0.0,0
2015-01-08,MRK,SELL,321,42.38934093058133,42.34695158965074,13.606978438716606,791.7926846037396,3
2015-01-08,XOM,BUY,190,56.931137478739565,56.98806861621831,10.816916120960517,0.0,0
2015-01-08,CVX,BUY,40,68.0954263397569,68.16352176609665,2.723817053590276,0.0,0
2015-01-08,TSLA,BUY,2,14.187333106994629,14.201520440101623,0.02837466621398926,0.0,0
2015-01-13,NFLX,BUY,2,4.602142810821533,4.606744953632354,0.009204285621643066,0.0,0
2015-01-14,TSLA,SELL,2,12.845999717712402,12.83315371799469,0.025691999435424804,-2.7624254436492897,6
2015-01-15,TSLA,BUY,2,12.965999603271484,12.978965602874755,0.02593199920654297,0.0,0
2015-01-22,NFLX,SELL,2,5.857142925262451,5.851285782337189,0.011714285850524902,2.4773673715591435,9
2015-02-06,V,SELL,245,62.89870575967049,62.83580705391082,15.410182911119271,422.6471538074463,32
2015-02-06,TSLA,SELL,2,14.800000190734863,14.785200190544128,0.02960000038146973,3.5828691749572754,22
2015-02-06,UNH,BUY,127,91.02734594030888,91.11837328624918,11.560472934419227,0.0,0
2015-02-06,BA,BUY,29,129.98639928435,130.11638568363435,3.7696055792461496,0.0,0
2015-02-06,AMZN,BUY,4,18.743499755859375,18.762243255615235,0.0749739990234375,0.0,0
2015-02-06,BAC,BUY,1,12.934045828426703,12.94697987425513,0.012934045828426702,0.0,0
2015-02-10,CVX,SELL,40,68.92482717886773,68.85590235168887,2.7569930871547093,24.938230336534023,33
2015-02-10,UNH,BUY,28,89.91244401331254,90.00235645732585,2.517548432372751,0.0,0
2015-02-10,BA,BUY,1,129.61905352256315,129.7486725760857,0.12961905352256314,0.0,0
2015-02-10,AMZN,BUY,5,18.559499740600586,18.578059240341187,0.09279749870300294,0.0,0
2015-02-10,BAC,BUY,1,13.140353917923601,13.153494271841526,0.013140353917923602,0.0,0
2015-02-11,BRK-B,SELL,100,149.83999633789062,149.69015634155272,14.983999633789063,58.150878906248046,37
2015-02-11,UNH,BUY,9,91.14471801464134,91.23586273265599,0.820302462131772,0.0,0
2015-02-11,BA,BUY,88,129.8135609722036,129.94337453317578,11.423593365553916,0.0,0
2015-02-11,AMZN,BUY,146,18.561500549316406,18.580062049865724,2.7099790802001955,0.0,0
2015-02-13,XOM,SELL,190,58.27114142774815,58.2128702863204,11.071516871272149,221.64080044812607,36
2015-02-13,BA,BUY,84,130.22715562988805,130.35738278551793,10.939081072910595,0.0,0
2015-02-13,AAPL,BUY,3,28.32828225725113,28.35661053950838,0.08498484677175339,0.0,0
2015-02-13,AMZN,BUY,1,18.920499801635742,18.939420301437377,0.018920499801635744,0.0,0
2015-02-18,BAC,SELL,2,13.132416863160625,13.119284446297463,0.02626483372632125,0.11182991277195055,12
2015-02-18,AMZN,BUY,1,18.68899917602539,18.707688175201415,0.01868899917602539,0.0,0
2015-02-19,TSLA,BUY,1,13.666666984558105,13.680333651542664,0.013666666984558106,0.0,0
2015-02-23,META,SELL,158,79.47008167799144,79.39061159631345,12.556272905122649,273.5647509566342,49
