date,portfolio_value,cash,positions,trades,returns
2025-01-02,10000.0,10000.0,0,0,
2025-01-03,10000.0,10000.0,0,0,0.0
2025-01-06,10000.0,10000.0,0,0,0.0
2025-01-07,10000.0,10000.0,0,0,0.0
2025-01-08,10000.0,10000.0,0,0,0.0
2025-01-09,10000.0,10000.0,0,0,0.0
2025-01-10,10000.0,9681.519989013672,1,1,0.0
2025-01-13,9997.199981689453,9681.519989013672,1,0,-0.0002800018310546992
2025-01-14,10002.609985351562,9681.519989013672,1,0,0.0005411518897309175
2025-01-15,10016.549987792969,9681.519989013672,1,0,0.0013936365070537082
2025-01-16,10013.529998779297,9681.519989013672,1,0,-0.00030149991936867515
2025-01-17,10023.859985351562,9681.519989013672,1,0,0.0010316028986305792
2025-01-20,10023.859985351562,9681.519989013672,1,0,0.0
2025-01-21,10019.91000366211,9681.519989013672,1,0,-0.00039405794726032894
2025-01-22,10043.239990234375,9681.519989013672,1,0,0.0023283628858681293
2025-01-23,10044.039978027344,9681.519989013672,1,0,7.965435394829967e-05
2025-01-24,10044.619995117188,9681.519989013672,1,0,5.77473896075098e-05
2025-01-27,10024.539978027344,9280.31997680664,2,1,-0.0019990818069379745
2025-01-28,10067.22998046875,9706.47998046875,1,1,0.004258549772356401
2025-01-29,10072.81997680664,9706.47998046875,1,0,0.000555266577671798
2025-01-30,10071.989990234375,9706.47998046875,1,0,-8.239863058967511e-05
2025-01-31,10076.06997680664,9706.47998046875,1,0,0.00040508246892834165
2025-02-03,10071.919982910156,9706.47998046875,1,0,-0.0004118663234810027
2025-02-04,10086.739990234375,9706.47998046875,1,0,0.001471418294562099
2025-02-05,10074.749969482422,9706.47998046875,1,0,-0.0011886913674350463
2025-02-06,10087.109985351562,9706.47998046875,1,0,0.0012268310287184558
2025-02-07,10082.199981689453,9706.47998046875,1,0,-0.0004867601988319814
2025-02-10,10090.879974365234,9706.47998046875,1,0,0.0008609224863169729
2025-02-11,10081.72998046875,9706.47998046875,1,0,-0.0009067587682867195
2025-02-12,10086.799987792969,9237.116821289062,2,1,0.0005028906084612039
2025-02-13,10177.057739257812,9237.116821289062,2,0,0.00894810560079251
2025-02-14,10210.036651611328,9237.116821289062,2,0,0.0032405154022365767
2025-02-17,10210.036651611328,9237.116821289062,2,0,0.0
2025-02-18,10186.950317382812,9237.116821289062,2,0,-0.00226114117081766
2025-02-19,10185.517547607422,9237.116821289062,2,0,-0.0001406475668135343
2025-02-20,10137.405670166016,9237.116821289062,2,0,-0.004723557464461625
2025-02-21,10086.659729003906,8298.286811828613,4,2,-0.005005811428801077
2025-02-24,10049.001197814941,7335.106788635254,6,2,-0.0037334987201639303
2025-02-25,9983.617244720459,6837.306800842285,7,1,-0.006506512618258964
2025-02-26,10087.870460510254,8344.216842651367,4,3,0.010442429155116617
2025-02-27,10012.484230041504,7894.256851196289,5,1,-0.007472957822352577
2025-02-28,10039.39128112793,7894.256851196289,5,0,0.0026873501588839943
2025-03-03,9956.751510620117,6923.534795761108,7,2,-0.008231551913227886
2025-03-04,9926.897661209106,6489.701131820679,8,1,-0.0029983523621301966
2025-03-05,9971.186851501465,6489.701131820679,8,0,0.004461533885397495
2025-03-06,9897.775686264038,6943.149602890015,7,1,-0.00736232971367623
2025-03-07,9931.687284469604,6987.320562362671,7,2,0.003426183748802103
2025-03-10,9807.264863967896,5031.388572692871,12,5,-0.012527823011128314
2025-03-11,9841.27261543274,5493.568565368652,11,1,0.0034676081391245006
2025-03-12,9929.121528625488,5493.568565368652,11,0,0.008926580598426659
2025-03-13,9861.183000564575,4220.277732849121,14,3,-0.006842350339357539
2025-03-14,10070.096355438232,4615.017723083496,13,1,0.021185425203213093
2025-03-17,10202.05178642273,4921.867729187012,12,1,0.013103691000259099
2025-03-18,10156.610469818115,4643.027732849121,13,1,-0.004454135065760867
2025-03-19,10295.65117263794,4940.057731628418,12,1,0.013689675628794085
2025-03-20,10256.444393157959,4642.122581481934,13,1,-0.003808091282674564
2025-03-21,10288.591737747192,4642.122581481934,13,0,0.0031343556652712046
2025-03-24,10389.017345428467,4642.122581481934,13,0,0.009760870121109821
2025-03-25,10382.954107284546,4642.122581481934,13,0,-0.0005836199846743773
2025-03-26,10266.06792640686,4642.122581481934,13,0,-0.011257507224815666
2025-03-27,10190.485494613647,4380.422569274902,14,1,-0.007362354538761218
2025-03-28,10049.065599441528,4380.422569274902,14,0,-0.013877640593951024
2025-03-31,10048.200233459473,4380.422569274902,14,0,-8.611407433778417e-05
2025-04-01,10106.258827209473,4380.422569274902,14,0,0.005778009235591242
2025-04-02,10217.870849609375,4380.422569274902,14,0,0.011043851568436569
2025-04-03,9653.557523727417,4022.983238220215,15,1,-0.05522807385097561
2025-04-04,9191.167854309082,1953.853847503662,20,5,-0.047898369930653106
2025-04-07,9216.43308353424,1249.1100463867188,21,9,0.00274885951661874
2025-04-08,8949.836977005005,128.36517333984375,24,3,-0.02892616960519434
2025-04-09,10061.803178787231,9022.092771530151,3,21,0.12424429681112881
2025-04-10,10016.067415237427,7341.1598110198975,7,4,-0.004545483820059926
2025-04-11,10023.344522476196,7341.1598110198975,7,0,0.0007265433564973556
2025-04-14,10083.870195388794,7415.4573097229,7,4,0.006038470769599513
