date,year,return,value,n_features
2017-01-09,2017,-0.011074630760271842,9889.253692397282,4
2017-01-23,2017,0.00419539720434754,9930.74303969145,3
2017-01-30,2017,0.04416232417006325,10369.307733059903,7
2017-02-06,2017,0.0225273045852738,10602.900286700979,1
2017-02-13,2017,-0.0027196584657032453,10574.064019175245,2
2017-02-27,2017,-0.002719344814878544,10545.309493012506,3
2017-03-06,2017,-0.00365321594678254,10506.785200208875,8
2017-03-13,2017,0.004072300734129064,10549.571989293021,3
2017-03-20,2017,-0.010867553104005112,10434.923955474855,6
2017-03-27,2017,0.007198162398290164,10510.036232720171,5
2017-04-03,2017,-0.016311976401865203,10338.596769709291,4
2017-04-10,2017,-0.008733177171302352,10248.307972416766,8
2017-04-17,2017,0.013771122834926475,10389.438680355073,4
2017-04-24,2017,0.005933381465168697,10451.0831832546,4
2017-05-01,2017,-0.018547129869330638,10257.245586179599,7
2017-05-08,2017,0.003827525137733634,10296.505451504609,7
2017-05-15,2017,-0.015391104246353437,10138.030862727353,6
2017-05-22,2017,0.03642961557872716,10507.355429781783,6
2017-06-05,2017,0.002806547759173128,10536.844824618074,4
2017-06-12,2017,-0.003586781887711843,10499.051460447503,5
2017-06-19,2017,0.02309082027914877,10741.483170822232,5
2017-06-26,2017,-0.019520077405426307,10531.808587878699,6
2017-07-03,2017,0.019767480502907255,10739.995908799943,10
2017-07-10,2017,0.008726564022846717,10833.719170703198,6
2017-07-17,2017,-0.001215149151053585,10820.554586050164,7
2017-07-24,2017,0.031078797902874933,11156.844415227042,3
2017-07-31,2017,0.011778004252942564,11288.249776199003,2
2017-08-07,2017,-0.031045620026676667,10937.799062880911,5
2017-08-14,2017,-0.025953292390046623,10653.927165698386,6
2017-08-21,2017,0.005742716189776764,10715.109645717544,3
2017-08-28,2017,-0.0030274964538025253,10682.66968926303,4
2017-09-11,2017,0.00484860113852017,10734.465693680826,5
2017-09-18,2017,-0.011493771106653016,10611.086202045439,7
2017-09-25,2017,0.004441110471518195,10658.211208091527,1
2017-10-02,2017,0.003960645479829383,10700.42460413592,9
2017-10-09,2017,0.03563165490712383,11081.698440990189,6
2017-10-16,2017,-0.0016102284512616084,11063.854374872206,5
2017-10-23,2017,-0.011201311269458869,10939.924698179299,5
2017-10-30,2017,0.008878020159121935,11037.04957018901,8
2017-11-06,2017,-0.01602785662647608,10860.14932209871,3
2017-11-13,2017,0.013064192259324514,11002.02840080758,7
2017-11-20,2017,0.0039756665090514565,11045.768796652304,6
2017-11-27,2017,0.0008766555598338388,11055.452131280528,11
2017-12-04,2017,0.01328221389767087,11202.293011223657,10
2017-12-11,2017,0.005883547706785975,11268.202236580588,1
2017-12-18,2017,0.012400071261755508,11407.928747306061,8
2018-01-08,2018,0.02799182454475334,11727.257487219698,4
2018-01-22,2018,0.018507217908215367,11944.296397001423,4
2018-01-29,2018,-0.03600139961778458,11514.28500925971,4
2018-02-05,2018,-0.015278561559545812,11338.36329693158,6
2018-02-12,2018,0.030178975028734865,11680.543479736403,7
2018-02-26,2018,-0.026126185016531613,11375.375439691168,1
2018-03-05,2018,0.025870302379005707,11669.659841990693,5
2018-03-12,2018,-0.009189689142167968,11562.419295647956,7
2018-03-19,2018,-0.046171079114881476,11028.569919589163,1
2018-03-26,2018,-0.008390030662495518,10936.039879800333,9
2018-04-02,2018,0.008650441202966142,11030.64144977384,6
2018-04-09,2018,0.01841528209128619,11233.77382371926,5
2018-04-16,2018,-0.015000808612974249,11065.258132588207,3
2018-04-23,2018,0.002833827012815615,11096.615159988114,4
2018-04-30,2018,0.02700863651137373,11396.319605350833,6
2018-05-07,2018,0.025529093184714347,11687.25731051862,4
2018-05-14,2018,-0.003696757938234285,11644.052349279773,2
2018-05-21,2018,0.014093108697577617,11808.153244718456,7
2018-06-04,2018,0.020641944223769314,12051.896485381656,5
2018-06-11,2018,0.012424090344890448,12201.630336143306,7
2018-06-18,2018,-0.00862749023021352,12096.360889625554,4
2018-06-25,2018,0.011360995196370205,12233.78758758615,3
2018-07-02,2018,0.012846513737391884,12390.94910789041,5
2018-07-09,2018,0.0027916983214168246,12425.54089971567,3
2018-07-16,2018,0.0008080977613507123,12435.581951500302,3
2018-07-23,2018,0.0003433455238254668,12439.851652899515,2
2018-07-30,2018,0.020160999030713632,12690.651490015844,6
2018-08-06,2018,-0.0029686508544335966,12652.97737662669,4
2018-08-13,2018,0.02873722640750629,13016.588852227866,3
2018-08-20,2018,0.011833295688219836,13170.617996968265,5
2018-08-27,2018,-0.01382182011249462,12988.576084243785,6
2018-09-10,2018,0.010008884080922941,13118.577236647228,7
2018-09-17,2018,0.024995196312155278,13446.478650013398,5
2018-09-24,2018,-0.009257954614985863,13321.991760940196,4
2018-10-01,2018,-0.018168813581578947,13079.946976100344,6
2018-10-08,2018,-0.0343981798144285,12630.020608053253,6
2018-10-15,2018,0.003104793675186046,12669.234216154606,4
2018-10-22,2018,-0.06960769134206467,11787.358071296192,6
2018-10-29,2018,0.09970690316317805,12962.639041060627,6
2018-11-05,2018,0.01895593565586782,13208.357992653211,4
2018-11-12,2018,0.009549456463852657,13334.490632263034,7
2018-11-19,2018,-0.019557017517646137,13073.707765378977,6
2018-11-26,2018,0.015182729828680807,13272.202338239853,5
2018-12-03,2018,-0.07399168823044781,12290.16968069739,9
2018-12-10,2018,-0.022692345038151474,12011.276909725579,5
2018-12-17,2018,-0.04618782555783877,11456.502147092277,7
2018-12-24,2018,0.04652005357960711,11989.459240809892,3
2018-12-31,2018,0.04503024113485066,12529.347481500025,5
