date,ticker,action,shares,price,execution_price,cost,pnl,holding_days
2017-01-04,CVX,BUY,186,80.63142389291941,80.71205531681234,14.997444844083011,0.0,0
2017-01-04,JPM,BUY,218,68.68566062973267,68.7543462903624,14.97347401728172,0.0,0
2017-01-04,DIS,BUY,149,100.44610891684957,100.54655502576642,14.966470228610586,0.0,0
2017-01-04,AMD,BUY,523,11.449999809265137,11.461449809074402,5.988349900245666,0.0,0
2017-01-04,IWM,BUY,123,121.76589407144886,121.8876599655203,14.97720497078821,0.0,0
2017-01-04,UNH,BUY,106,140.7198047585038,140.86052456326232,14.916299304401404,0.0,0
2017-01-04,BA,BUY,102,146.31249269766045,146.4588051903581,14.923874255161365,0.0,0
2017-01-04,BRK-B,BUY,24,164.4499969482422,164.61444694519042,3.9467999267578127,0.0,0
2017-01-04,HD,BUY,1,108.12236574141315,108.23048810715456,0.10812236574141315,0.0,0
2017-01-09,AMD,SELL,523,11.369999885559082,11.358629885673523,5.946509940147401,-59.721329878807396,5
2017-01-09,DIS,BUY,58,102.2734309403834,102.37570437132379,5.931858994542238,0.0,0
2017-01-12,CVX,SELL,186,79.33080218851173,79.25147138632322,14.755529207063182,-286.4241402780399,8
2017-01-12,BRK-B,SELL,24,162.0,161.838,3.888,-70.5227266845703,8
2017-01-12,MA,BUY,146,102.41989791951407,102.52231781743359,14.953305096249055,0.0,0
2017-01-12,META,BUY,29,124.84038629593603,124.96522668223196,3.6203712025821453,0.0,0
2017-01-19,IWM,SELL,123,120.95142800494959,120.83047657694465,14.8770256446088,-144.910582439414,15
2017-01-19,QQQ,BUY,127,116.03234140509862,116.14837374650372,14.736107358447525,0.0,0
2017-01-19,META,BUY,1,127.44434296706403,127.5717873100311,0.12744434296706403,0.0,0
2017-01-20,JPM,SELL,218,65.89748820881309,65.83159072060427,14.365652429521251,-651.5263666367953,16
2017-01-20,UNH,SELL,106,137.8335062501802,137.69567274393,14.610351662519102,-350.0846445117443,16
2017-01-20,MA,BUY,138,103.91335802450091,104.01727138252541,14.340043407381126,0.0,0
2017-01-20,QQQ,BUY,125,116.3148245835586,116.43113940814216,14.539353072944825,0.0,0
2017-01-20,TSLA,BUY,3,16.36400032043457,16.380364320755003,0.049092000961303714,0.0,0
2017-02-02,MA,SELL,284,99.80397854980691,99.70417457125711,28.344329908145163,-1035.0006038049328,21
2017-02-02,DIS,BUY,77,104.75067320544635,104.85542387865179,8.065801836819368,0.0,0
2017-02-02,CAT,BUY,185,77.88384663986531,77.96173048650518,14.408511628375082,0.0,0
2017-02-02,META,BUY,44,132.40376803270397,132.53617180073667,5.825765793438974,0.0,0
2017-02-03,CAT,SELL,185,77.51401770837677,77.43650369066839,14.340093276049702,-111.50705050585523,1
2017-02-03,CRM,BUY,180,79.55316470541766,79.63271787012307,14.319569646975179,0.0,0
2017-02-06,TSLA,SELL,3,16.733333587646484,16.71660025405884,0.05020000076293945,0.9585077991485694,17
2017-02-07,AAPL,BUY,1,30.08756258778444,30.117650150372224,0.03008756258778444,0.0,0
