n_estimators,max_depth,learning_rate,min_child_weight,subsample,reg_lambda,train_rmse_mean,val_rmse_mean,train_dir_acc_mean,val_dir_acc_mean,overfit_gap
100,4,0.05,5,0.8,1,0.017966788571049542,0.018900206644055055,0.5212805764511982,0.5258598514707712,-0.004579275019573004
50,4,0.05,5,0.8,1,0.017966788571049542,0.018900206644055055,0.5212805764511982,0.5258598514707712,-0.004579275019573004
150,4,0.05,5,0.8,1,0.017966788571049542,0.018900206644055055,0.5212805764511982,0.5258598514707712,-0.004579275019573004
150,4,0.01,5,1.0,5,0.017965933586504806,0.018908997605388563,0.5206459946385641,0.5258308094428079,-0.00518481480424382
100,4,0.1,1,1.0,5,0.01794733612452546,0.018905292444358752,0.5213237212093278,0.5258183628593951,-0.004494641650067299
150,4,0.1,1,1.0,5,0.01794733612452546,0.018905292444358752,0.5213237212093278,0.5258183628593951,-0.004494641650067299
50,4,0.1,1,1.0,5,0.01794733612452546,0.018905292444358752,0.5213237212093278,0.5258183628593951,-0.004494641650067299
100,4,0.01,5,0.8,5,0.017962278239082655,0.018910115238532605,0.5208457534161723,0.5257851719702942,-0.004939418554121833
100,4,0.01,5,0.8,1,0.017961564875950752,0.01890861409149703,0.5208355890839792,0.5257519810811933,-0.0049163919972140535
100,4,0.01,5,1.0,5,0.017967323113458975,0.0189097910761045,0.5206034699145858,0.525743683358918,-0.005140213444332131
150,5,0.01,5,0.8,1,0.017959141930852074,0.01891111870186275,0.5210411637234534,0.5257395344977803,-0.004698370774326888
100,5,0.01,5,0.8,1,0.017959141930852074,0.01891111870186275,0.5210411637234534,0.5257395344977803,-0.004698370774326888
150,4,0.05,5,1.0,5,0.017964290258757353,0.018908831958346965,0.5212190344172155,0.5257353856366427,-0.004516351219427173
100,4,0.05,5,1.0,5,0.017964290258757353,0.018908831958346965,0.5212190344172155,0.5257353856366427,-0.004516351219427173
50,4,0.05,5,1.0,5,0.017964290258757353,0.018908831958346965,0.5212190344172155,0.5257353856366427,-0.004516351219427173
100,4,0.01,1,0.8,5,0.017967232516050258,0.018910981439030347,0.5208362111366862,0.5257312367755052,-0.0048950256388189395
150,4,0.01,1,1.0,5,0.017960218394273666,0.018908689451392836,0.5207467383462457,0.5257187901920923,-0.004972051845846592
100,5,0.05,1,1.0,1,0.017941040847502015,0.018914493080243656,0.5215754696123023,0.525710492469817,-0.00413502285751477
50,5,0.05,1,1.0,1,0.017941040847502015,0.018914493080243656,0.5215754696123023,0.525710492469817,-0.00413502285751477
150,5,0.05,1,1.0,1,0.017941040847502015,0.018914493080243656,0.5215754696123023,0.525710492469817,-0.00413502285751477
50,5,0.01,1,1.0,1,0.01795222013734812,0.01891465272489069,0.5208320637386284,0.525710492469817,-0.0048784287311886
100,4,0.05,1,0.8,5,0.01796580789885325,0.0189033953998693,0.5215333640146965,0.5257021947475418,-0.004168830732845241
150,4,0.05,1,0.8,5,0.01796580789885325,0.0189033953998693,0.5215333640146965,0.5257021947475418,-0.004168830732845241
50,4,0.05,1,0.8,5,0.01796580789885325,0.0189033953998693,0.5215333640146965,0.5257021947475418,-0.004168830732845241
100,4,0.01,1,1.0,5,0.01796176910133511,0.018909857036574697,0.520684507042863,0.5257021947475418,-0.005017687704678808
100,4,0.05,1,1.0,5,0.017956856351048895,0.018907535701689106,0.5214257791182525,0.5256855993029912,-0.004259820184738694
50,4,0.05,1,1.0,5,0.017956856351048895,0.018907535701689106,0.5214257791182525,0.5256855993029912,-0.004259820184738694
150,4,0.05,1,1.0,5,0.017956856351048895,0.018907535701689106,0.5214257791182525,0.5256855993029912,-0.004259820184738694
100,5,0.01,5,1.0,5,0.017946102029695522,0.01891310309288493,0.5211409354440446,0.5256731527195785,-0.0045322172755338785
50,5,0.05,5,1.0,1,0.017935846671406318,0.018911153854294073,0.5217871959378494,0.5256690038584408,-0.0038818079205914513
100,5,0.05,5,1.0,1,0.017935846671406318,0.018911153854294073,0.5217871959378494,0.5256690038584408,-0.0038818079205914513
100,5,0.1,1,1.0,1,0.017940800859173156,0.018911399231399062,0.5215221556098277,0.5256690038584408,-0.004146848248613111
100,5,0.1,5,0.8,1,0.017940079370537654,0.018911720074956485,0.5220078305674952,0.5256690038584408,-0.0036611732909456185
50,5,0.1,1,1.0,1,0.017940800859173156,0.018911399231399062,0.5215221556098277,0.5256690038584408,-0.004146848248613111
50,5,0.1,5,0.8,1,0.017940079370537654,0.018911720074956485,0.5220078305674952,0.5256690038584408,-0.0036611732909456185
150,5,0.1,5,0.8,1,0.017940079370537654,0.018911720074956485,0.5220078305674952,0.5256690038584408,-0.0036611732909456185
150,5,0.1,1,1.0,1,0.017940800859173156,0.018911399231399062,0.5215221556098277,0.5256690038584408,-0.004146848248613111
150,5,0.05,5,1.0,1,0.017935846671406318,0.018911153854294073,0.5217871959378494,0.5256690038584408,-0.0038818079205914513
100,5,0.01,1,1.0,1,0.017951636227491838,0.018914348544109897,0.5208372496805771,0.5256607061361656,-0.00482345645558846
150,5,0.01,1,1.0,1,0.017951636227491838,0.018914348544109897,0.5208372496805771,0.5256607061361656,-0.00482345645558846
150,5,0.01,5,1.0,1,0.01794379771585495,0.01891207656761771,0.5210679194446648,0.525656557275028,-0.004588637830363229
100,5,0.01,5,1.0,1,0.01794379771585495,0.01891207656761771,0.5210679194446648,0.525656557275028,-0.004588637830363229
50,3,0.1,5,0.8,1,0.01797139925910613,0.018896503125859887,0.5210804662367716,0.5256399618304777,-0.004559495593706053
