date,value,cash,positions
2024-04-01,10000.0,1307.2264976501465,19
2024-04-02,9920.187381744385,1307.2264976501465,19
2024-04-03,9974.048629760742,1307.2264976501465,19
2024-04-04,9859.768049240112,1307.2264976501465,19
2024-04-05,9954.88790512085,1307.2264976501465,19
2024-04-08,9995.474607467651,1307.2264976501465,19
2024-04-09,10028.907800674438,1307.2264976501465,19
2024-04-10,9855.371677398682,1307.2264976501465,19
2024-04-11,9896.994993209839,1307.2264976501465,19
2024-04-12,9767.730478286743,1307.2264976501465,19
2024-04-15,9710.612197875977,1307.2264976501465,19
2024-04-16,9663.671089172363,1307.2264976501465,19
2024-04-17,9680.747344970703,1307.2264976501465,19
2024-04-18,9641.227304458618,1307.2264976501465,19
2024-04-19,9655.441873550415,1307.2264976501465,19
2024-04-22,9711.890930175781,1307.2264976501465,19
2024-04-23,9759.372869491577,1307.2264976501465,19
2024-04-24,9733.688400268555,1307.2264976501465,19
2024-04-25,9816.495651245117,1307.2264976501465,19
2024-04-26,9751.179565429688,1307.2264976501465,19
2024-04-29,9779.643014907837,1307.2264976501465,19
2024-04-30,9661.09241104126,1307.2264976501465,19
2024-05-01,9670.039541244507,1571.3373260498047,19
2024-05-02,9773.318618774414,1571.3373260498047,19
2024-05-03,9839.27289390564,1571.3373260498047,19
2024-05-06,9876.690704345703,1571.3373260498047,19
2024-05-07,9875.397504806519,1571.3373260498047,19
2024-05-08,9860.446239471436,1571.3373260498047,19
2024-05-09,9966.290752410889,1571.3373260498047,19
2024-05-10,9978.98756980896,1571.3373260498047,19
2024-05-13,10000.006685256958,1571.3373260498047,19
2024-05-14,10020.657415390015,1571.3373260498047,19
2024-05-15,10064.927251815796,1571.3373260498047,19
2024-05-16,10064.010623931885,1571.3373260498047,19
2024-05-17,10100.119483947754,1571.3373260498047,19
2024-05-20,10110.715404510498,1571.3373260498047,19
2024-05-21,10132.211938858032,1571.3373260498047,19
2024-05-22,10174.616033554077,1571.3373260498047,19
2024-05-23,10073.066993713379,1571.3373260498047,19
2024-05-24,10130.867334365845,1571.3373260498047,19
2024-05-28,9990.429843902588,1571.3373260498047,19
2024-05-29,9895.720077514648,1571.3373260498047,19
2024-05-30,9892.015832901001,1571.3373260498047,19
2024-05-31,9931.064207077026,1571.3373260498047,19
2024-06-03,9913.142839431763,1974.3234996795654,18
2024-06-04,9877.591672897339,1974.3234996795654,18
2024-06-05,9954.514097213745,1974.3234996795654,18
2024-06-06,9906.593053817749,1974.3234996795654,18
2024-06-07,9878.331075668335,1974.3234996795654,18
2024-06-10,9970.76979637146,1974.3234996795654,18
2024-06-11,9918.418912887573,1974.3234996795654,18
2024-06-12,9956.970006942749,1974.3234996795654,18
2024-06-13,9937.975652694702,1974.3234996795654,18
2024-06-14,9888.49555015564,1974.3234996795654,18
2024-06-17,9961.28907585144,1974.3234996795654,18
2024-06-18,10002.573419570923,1974.3234996795654,18
2024-06-20,9997.924951553345,1974.3234996795654,18
2024-06-21,10027.328233718872,1974.3234996795654,18
2024-06-24,10047.909677505493,1974.3234996795654,18
2024-06-25,9980.946912765503,1974.3234996795654,18
2024-06-26,9972.94125175476,1974.3234996795654,18
2024-06-27,9995.72559928894,1974.3234996795654,18
2024-06-28,10039.804094314575,1974.3234996795654,18
2024-07-01,9961.267652511597,1482.9929161071777,19
2024-07-02,10041.216594696045,1482.9929161071777,19
2024-07-03,10073.676063537598,1482.9929161071777,19
2024-07-05,10066.95846748352,1482.9929161071777,19
2024-07-08,10024.951623916626,1482.9929161071777,19
2024-07-09,10068.925003051758,1482.9929161071777,19
2024-07-10,10183.524681091309,1482.9929161071777,19
2024-07-11,10282.57424545288,1482.9929161071777,19
2024-07-12,10297.286315917969,1482.9929161071777,19
2024-07-15,10351.222522735596,1482.9929161071777,19
2024-07-16,10567.695461273193,1482.9929161071777,19
2024-07-17,10574.742893218994,1482.9929161071777,19
2024-07-18,10540.535329818726,1482.9929161071777,19
2024-07-19,10479.661672592163,1482.9929161071777,19
2024-07-22,10577.969087600708,1482.9929161071777,19
2024-07-23,10563.801254272461,1482.9929161071777,19
2024-07-24,10469.181146621704,1482.9929161071777,19
2024-07-25,10496.215042114258,1482.9929161071777,19
2024-07-26,10608.99282836914,1482.9929161071777,19
2024-07-29,10613.59433555603,1482.9929161071777,19
2024-07-30,10687.562515258789,1482.9929161071777,19
2024-07-31,10679.5728225708,1482.9929161071777,19
2024-08-01,10548.734731674194,2147.2594203948975,18
2024-08-02,10279.18468284607,2147.2594203948975,18
2024-08-05,10051.16298866272,2147.2594203948975,18
2024-08-06,10084.25415611267,2147.2594203948975,18
