date,ticker,action,shares,price,pnl
2025-01-10,APP,BUY,1,318.4800109863281,0.0
2025-01-27,ANET,BUY,4,100.30000305175781,0.0
2025-01-28,ANET,SELL,4,106.54000091552734,24.959991455078125
2025-02-12,AVGO,BUY,2,234.68157958984375,0.0
2025-02-21,AKAM,BUY,6,76.7300033569336,0.0
2025-02-21,XYZ,BUY,7,68.3499984741211,0.0
2025-02-24,ANET,BUY,5,92.69000244140625,0.0
2025-02-24,AXON,BUY,1,499.7300109863281,0.0
2025-02-25,CDNS,BUY,2,248.89999389648438,0.0
2025-02-26,AKAM,SELL,6,79.58000183105469,17.099990844726562
2025-02-26,XYZ,SELL,7,65.29000091552734,-21.41998291015625
2025-02-26,AXON,SELL,1,572.4000244140625,72.67001342773438
2025-02-27,XYZ,BUY,7,64.27999877929688,0.0
2025-03-03,ALB,BUY,7,68.7348861694336,0.0
2025-03-03,APA,BUY,27,18.13251304626465,0.0
2025-03-04,BBY,BUY,6,72.30561065673828,0.0
2025-03-06,BBY,SELL,6,75.57474517822266,19.61480712890625
2025-03-07,AVGO,SELL,2,193.583740234375,-82.1956787109375
2025-03-07,COF,BUY,2,171.49826049804688,0.0
2025-03-10,AXP,BUY,1,259.14276123046875,0.0
2025-03-10,BX,BUY,3,136.34779357910156,0.0
2025-03-10,BA,BUY,3,148.14999389648438,0.0
2025-03-10,AVGO,BUY,2,183.14793395996094,0.0
2025-03-10,CCL,BUY,25,19.079999923706055,0.0
2025-03-11,BA,SELL,3,154.05999755859375,17.730010986328125
2025-03-13,ADBE,BUY,1,377.8399963378906,0.0
2025-03-13,ABNB,BUY,4,119.37999725341797,0.0
2025-03-13,AAPL,BUY,2,208.96542358398438,0.0
2025-03-14,ADBE,SELL,1,394.739990234375,16.899993896484375
2025-03-17,APP,SELL,1,306.8500061035156,-11.6300048828125
2025-03-18,APP,BUY,1,278.8399963378906,0.0
2025-03-19,APP,SELL,1,297.0299987792969,18.19000244140625
2025-03-20,ACN,BUY,1,297.9351501464844,0.0
2025-03-27,APP,BUY,1,261.70001220703125,0.0
2025-04-03,ADI,BUY,2,178.71966552734375,0.0
2025-04-04,MMM,BUY,3,125.17276000976562,0.0
2025-04-04,AMD,BUY,5,85.76000213623047,0.0
2025-04-04,AES,BUY,44,10.317364692687988,0.0
2025-04-04,ARE,BUY,5,78.56964874267578,0.0
2025-04-04,AMP,BUY,1,417.9988098144531,0.0
2025-04-07,ANET,SELL,5,68.16999816894531,-122.60002136230469
2025-04-07,COF,SELL,2,153.17684936523438,-36.642822265625
2025-04-07,AVGO,SELL,2,153.51502990722656,-59.26580810546875
2025-04-07,ADI,SELL,2,169.29359436035156,-18.852142333984375
2025-04-07,ALL,BUY,2,177.941162109375,0.0
2025-04-07,APTV,BUY,8,51.97999954223633,0.0
2025-04-07,BBY,BUY,7,59.621829986572266,0.0
2025-04-07,CRL,BUY,3,134.07000732421875,0.0
2025-04-07,CVX,BUY,3,135.42652893066406,0.0
2025-04-08,ABBV,BUY,2,171.33570861816406,0.0
2025-04-08,AMZN,BUY,2,170.66000366210938,0.0
2025-04-08,APO,BUY,4,109.18836212158203,0.0
2025-04-09,CDNS,SELL,2,264.6499938964844,31.5
2025-04-09,ALB,SELL,7,59.75382614135742,-62.8674201965332
2025-04-09,APA,SELL,27,16.03993034362793,-56.499732971191406
2025-04-09,AXP,SELL,1,261.037841796875,1.89508056640625
2025-04-09,BX,SELL,3,134.38136291503906,-5.8992919921875
2025-04-09,CCL,SELL,25,19.610000610351562,13.250017166137695
2025-04-09,ABNB,SELL,4,121.31999969482422,7.760009765625
2025-04-09,AAPL,SELL,2,198.17236328125,-21.58612060546875
2025-04-09,APP,SELL,1,274.9599914550781,13.259979248046875
2025-04-09,MMM,SELL,3,136.42657470703125,33.761444091796875
2025-04-09,AMD,SELL,5,96.83999633789062,55.39997100830078
2025-04-09,AES,SELL,44,10.661916732788086,15.160289764404297
2025-04-09,ARE,SELL,5,78.12499237060547,-2.2232818603515625
2025-04-09,AMP,SELL,1,468.30438232421875,50.305572509765625
2025-04-09,ALL,SELL,2,190.23233032226562,24.58233642578125
