date,ticker,action,price,shares,amount,cash_balance,total_value,strategy,momentum_score,confidence
2025-10-01,CASH,DEPOSIT,1.0,10000,10000.0,10000.0,10000.0,ml,,
2025-10-01,TTD,BUY,49.344659694671634,20,986.8931938934328,9013.106806106567,10000.0,ml,,
2025-10-01,DXCM,BUY,66.11304183197022,15,991.6956274795532,8021.411178627014,10000.0,ml,,
2025-10-01,DECK,BUY,101.23059030532836,9,911.0753127479552,7110.3358658790585,10000.0,ml,,
2025-10-01,PSKY,BUY,18.899444389343262,52,982.7711082458496,6127.5647576332085,10000.0,ml,,
2025-10-01,DOW,BUY,22.723943650245666,44,999.8535206108093,5127.7112370224,10000.0,ml,,
2025-10-01,WBD,BUY,19.359675381660463,51,987.3434444646836,4140.367792557716,10000.0,ml,,
2025-10-01,UAL,BUY,93.19657652664183,10,931.9657652664184,3208.4020272912976,10000.0,ml,,
2025-10-01,CCL,BUY,28.374180610656737,35,993.0963213729858,2215.305705918312,10000.0,ml,,
2025-10-01,KVUE,BUY,15.660649859905243,63,986.6209411740303,1228.6847647442817,10000.0,ml,,
2025-10-01,LYB,BUY,47.089470010757445,21,988.8788702259064,239.8058945183753,10000.0,ml,,
2025-10-02,ARES,BUY,150.68530561065674,6,904.1118336639404,863.789161681653,10108.459914827825,ml,,
2025-10-02,IT,BUY,257.35862599182127,3,772.0758779754638,1767.9009953455934,10108.459914827825,ml,,
2025-10-02,FDS,BUY,280.90264920043944,3,842.7079476013183,2539.976873321057,10108.459914827825,ml,,
2025-10-02,MOH,BUY,194.347125,5,971.735625,3382.684820922376,10108.459914827825,ml,,
2025-10-02,CHTR,BUY,269.74479034423825,3,809.2343710327148,4354.420445922376,10108.459914827825,ml,,
2025-10-02,PORTFOLIO,VALUE,1.0,0,0.0,0.0,10108.46,ml,,
2025-10-02,CCL,SELL,28.835575381279,35,1009.2451383447648,4157.197947093488,10108.459914827825,ml,,
2025-10-02,UAL,SELL,94.78258683013917,10,947.8258683013916,3147.9528087487224,10108.459914827825,ml,,
2025-10-02,DOW,SELL,23.33154814720153,44,1026.5881184768675,2200.1269404473305,10108.459914827825,ml,,
2025-10-02,DECK,SELL,103.74810305023192,9,933.7329274520874,1173.5388219704628,10108.459914827825,ml,,
2025-10-02,LYB,SELL,47.92651761245728,21,1006.4568698616029,5163.654816955091,10108.459914827825,ml,,
2025-10-03,CHTR,SELL,279.8700047607422,3,839.6100142822265,1703.3991759638795,10224.85984516096,ml,,
2025-10-03,MOH,SELL,201.8690162200928,5,1009.345081100464,2712.7442570643434,10224.85984516096,ml,,
2025-10-03,ARES,SELL,152.32379389953613,6,913.9427633972168,3626.68702046156,10224.85984516096,ml,,
2025-10-03,LULU,BUY,175.67779133605956,5,878.3889566802977,2748.2980637812625,10224.85984516096,ml,,
2025-10-03,SNPS,BUY,469.40459843444825,2,938.8091968688964,1809.488866912366,10224.85984516096,ml,,
2025-10-03,INTC,BUY,36.84841683197021,27,994.9072544631956,814.5816124491704,10224.85984516096,ml,,
2025-10-03,PORTFOLIO,VALUE,1.0,0,0.0,0.0,10224.86,ml,,
2025-10-06,DOW,BUY,23.088711819648744,44,1015.9033200645448,1139.940030935766,10222.81331430006,ml,,
2025-10-06,PORTFOLIO,VALUE,1.0,0,0.0,0.0,10222.81,ml,,
2025-10-06,WBD,SELL,19.070459923744203,51,972.5934561109544,1787.1750685601246,10222.81331430006,ml,,
